ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
PNG,Papua New Guinea,Oceania,,10389635,30816367067,11.386286735534668,8.357749938964844,4.228689193725586,23.679,,,,2024,Supabase
DOM,Dominican Republic,Americas,,11331265,120456239154,37.4366455078125,31.828554153442383,4.170285224914551,17.264,,,,2024,Supabase
TON,Tonga,Oceania,,104597,591139749,0.19128607213497162,0.14586800336837769,2.631551504135132,14.286,,,,2024,Supabase
JAM,Jamaica,Americas,,2839786,21418804320,8.608062744140625,8.068915367126465,3.058194875717163,12.918,,,,2024,Supabase
BVT,Bouvet Island,Antarctic,,,,,,,,,,,2024,Supabase
SVK,Slovakia,Europe,,5426740,133578518424,37.448307037353516,30.76624298095703,4.3753814697265625,22.723,,,,2024,Supabase
KIR,Kiribati,Oceania,,132530,288610748,0.0971822440624237,0.0692870020866394,0.8077874779701233,25,,,,2024,Supabase
JOR,Jordan,Asia,,11439213,51088476338,29.19767951965332,23.119264602661133,2.6952643394470215,23.128,,,,2024,Supabase
MDV,Maldives,Asia,,525994,6621008704,2.4284496307373047,2.205333948135376,4.6186981201171875,7.059,,,,2024,Supabase
MNE,Montenegro,Europe,,623529,7644389160,2.834613800048828,2.406848907470703,2.0582244396209717,61.137,,,,2024,Supabase
JPN,Japan,Asia,,124516650,4213167237906,1011.5563354492188,986.91015625,8.29648208618164,22.062,,0.336,0.68,2024,Supabase
SLV,El Salvador,Americas,,6309624,33853940000,10.54825496673584,8.669881820678711,1.4912844896316528,90.615,,,,2024,Supabase
COL,Colombia,Americas,,52321152,366291836138,129.2628631591797,89.99234008789062,4.573222637176514,65.97,,,,2024,Supabase
ZWE,Zimbabwe,Africa,,16340822,35871779681,20.318185806274414,13.443294525146484,1.8988440036773682,67.509,,,,2024,Supabase
GNQ,Equatorial Guinea,Africa,,1847549,12337550584,9.871074676513672,6.913362979888916,6.392467975616455,31.21,,,,2024,Supabase
CHN,China,Asia,,1410710000,18270356654533,13532.3955078125,12172.0087890625,9.795129776000977,30.605,,0.385,0.445,2024,Supabase
HND,Honduras,Americas,,10644851,34355805528,16.858610153198242,12.404354095458984,3.156280994415283,61.571,,,,2024,Supabase
IMN,Isle of Man,Europe,,84165,7434172253,,,,,,,,2024,Supabase
COG,Republic of the Congo,Africa,,6182885,15321055823,23.608190536499023,8.274272918701172,6.909847259521484,20.696,,,,2024,Supabase
MMR,Myanmar,Asia,,54133798,66757619000,43.519718170166016,31.792970657348633,3.471250295639038,38.186,,,,2024,Supabase
